geoid,geoid20,year,denom_all_households,eli_count,eli_pct,vli_count,vli_pct,li_count,li_pct,mi_count,mi_pct,abmi_count,abmi_pct
1400000US06037700101,6037700101,2016,3015.0,830.0,27.529022,1355.0,44.941956,1735.0,57.545605,2000.0,66.334991,1015.0,33.665009
1400000US06037552800,6037552800,2013,1590.0,325.0,20.440252,565.0,35.534592,920.0,57.861637,1120.0,70.440254,470.0,29.559748
1400000US06037109800,6037109800,2015,1465.0,170.0,11.604095,370.0,25.255972,600.0,40.955631,795.0,54.266212,670.0,45.733788
1400000US06037402301,6037402301,2014,1296.0,244.0,18.82716,483.0,37.26852,812.0,62.65432,927.0,71.527779,369.0,28.472221
1400000US06037541604,6037541604,2018,1427.0,408.0,28.59145,806.0,56.482132,1139.0,79.817802,1253.0,87.806587,174.0,12.193413
1400000US06037191810,6037191810,2015,1235.0,385.0,31.174089,720.0,58.299595,965.0,78.13765,1035.0,83.805672,200.0,16.194332
1400000US06037128220,6037128220,2014,1125.0,245.0,21.777779,360.0,32.0,675.0,60.0,750.0,66.666664,375.0,33.333332
1400000US06037106643,6037106643,2016,1338.0,30.0,2.2421525,159.0,11.883409,234.0,17.488789,349.0,26.083708,990.0,73.991028
1400000US06037231301,6037231301,2017,598.0,189.0,31.60535,312.0,52.173912,412.0,68.896324,488.0,81.605354,110.0,18.39465
1400000US06037401304,6037401304,2017,1659.0,124.0,7.4743819,303.0,18.264015,444.0,26.763111,546.0,32.911392,1113.0,67.088608
1400000US06037195400,6037195400,2016,2255.0,360.0,15.964523,545.0,24.168514,850.0,37.694012,970.0,43.015522,1285.0,56.984478
1400000US06037271804,6037271804,2014,1640.0,233.0,14.207317,520.0,31.707317,834.0,50.853657,1054.0,64.268295,586.0,35.731709
1400000US06037901007,6037901007,2016,680.0,55.0,8.0882349,150.0,22.058823,260.0,38.235294,325.0,47.794117,355.0,52.205883
1400000US06037401602,6037401602,2013,1815.0,305.0,16.804407,495.0,27.272728,810.0,44.628098,1035.0,57.024792,780.0,42.975208
1400000US06037901210,6037901210,2013,575.0,65.0,11.304348,125.0,21.73913,260.0,45.217392,320.0,55.652172,255.0,44.347828
1400000US06037550700,6037550700,2015,1875.0,100.0,5.3333335,270.0,14.4,430.0,22.933332,840.0,44.799999,1035.0,55.200001
1400000US06037503301,6037503301,2014,1040.0,140.0,13.461538,190.0,18.26923,345.0,33.173077,425.0,40.865383,615.0,59.134617
1400000US06037431100,6037431100,2014,2059.0,299.0,14.521612,743.0,36.08548,1137.0,55.220982,1336.0,64.885864,723.0,35.114132
1400000US06037910804,6037910804,2016,862.0,96.0,11.136891,176.0,20.417633,308.0,35.730858,396.0,45.939674,465.0,53.944317
1400000US06037217002,6037217002,2015,2345.0,285.0,12.153518,665.0,28.35821,1145.0,48.827293,1240.0,52.878464,1105.0,47.121536
1400000US06037208501,6037208501,2019,815.0,190.0,23.312883,345.0,42.331287,555.0,68.09816,625.0,76.687119,190.0,23.312883
1400000US06037300901,6037300901,2013,2169.0,120.0,5.5325036,245.0,11.295527,435.0,20.055325,640.0,29.506685,1529.0,70.493317
1400000US06037570601,6037570601,2014,1480.0,320.0,21.621622,635.0,42.905407,900.0,60.81081,1020.0,68.918922,460.0,31.081081
1400000US06037133102,6037133102,2013,1090.0,237.0,21.74312,409.0,37.522934,530.0,48.623852,648.0,59.449543,442.0,40.550457
1400000US06037270300,6037270300,2017,940.0,85.0,9.0425529,170.0,18.085106,360.0,38.297871,500.0,53.19149,440.0,46.80851
1400000US06037901007,6037901007,2013,682.0,90.0,13.196481,129.0,18.914955,228.0,33.431084,337.0,49.41349,345.0,50.58651
1400000US06037543601,6037543601,2014,1030.0,80.0,7.7669902,240.0,23.30097,415.0,40.291264,530.0,51.45631,500.0,48.54369
1400000US06037192610,6037192610,2015,1470.0,530.0,36.05442,955.0,64.965988,1235.0,84.013603,1320.0,89.795921,150.0,10.204082
1400000US06037294120,6037294120,2014,534.0,109.0,20.411985,224.0,41.947567,384.0,71.91011,459.0,85.955055,75.0,14.044944
1400000US06037302002,6037302002,2017,1670.0,490.0,29.341318,630.0,37.724552,1095.0,65.568863,1255.0,75.149704,415.0,24.8503
1400000US06037221601,6037221601,2016,895.0,350.0,39.106144,510.0,56.983242,645.0,72.067039,715.0,79.888268,180.0,20.111732
1400000US06037240901,6037240901,2017,471.0,190.0,40.339703,290.0,61.571125,402.0,85.350319,427.0,90.658173,44.0,9.3418255
1400000US06037261102,6037261102,2018,1560.0,160.0,10.256411,245.0,15.705129,355.0,22.756411,440.0,28.205128,1120.0,71.794868
1400000US06037131100,6037131100,2019,1044.0,145.0,13.888889,295.0,28.256704,485.0,46.45594,605.0,57.950191,439.0,42.049809
1400000US06037910605,6037910605,2014,1160.0,255.0,21.982759,415.0,35.775864,845.0,72.844826,950.0,81.896553,210.0,18.103449
1400000US06037267404,6037267404,2019,1625.0,330.0,20.307692,480.0,29.538462,670.0,41.23077,815.0,50.153847,810.0,49.846153
1400000US06037206202,6037206202,2014,1153.0,666.0,57.76236,859.0,74.501305,937.0,81.266258,957.0,83.00087,196.0,16.999132
1400000US06037113423,6037113423,2019,573.0,106.0,18.499128,161.0,28.097731,289.0,50.436298,346.0,60.383945,228.0,39.790577
1400000US06037232602,6037232602,2017,1250.0,585.0,46.799999,819.0,65.519997,1006.0,80.480003,1076.0,86.080002,174.0,13.92
1400000US06037195600,6037195600,2015,1255.0,225.0,17.928288,470.0,37.450199,725.0,57.768925,790.0,62.948208,465.0,37.051792
1400000US06037405900,6037405900,2015,1155.0,145.0,12.554112,280.0,24.242424,555.0,48.051949,650.0,56.277058,505.0,43.722942
1400000US06037229300,6037229300,2014,1200.0,590.0,49.166668,865.0,72.083336,1155.0,96.25,1155.0,96.25,45.0,3.75
1400000US06037204120,6037204120,2013,660.0,125.0,18.939394,275.0,41.666668,490.0,74.242424,520.0,78.78788,140.0,21.212122
1400000US06037570304,6037570304,2018,1440.0,320.0,22.222221,550.0,38.194443,910.0,63.194443,1060.0,73.611115,380.0,26.388889
